PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT,PER,TS_PCT,USG_PCT,WS,OWS,DWS,BPM,OBPM,DBPM,VORP,OFF_RATING,DEF_RATING,NET_RATING
Nikola Jokić,DEN,79,34.6,26.4,12.4,9.0,1.4,0.9,3.0,0.583,0.359,0.817,17.63583815028901,0.65,0.288,32.25412,167.28408,-135.02996,0.5900000000000001,1.12,0.47000000000000064,7.079506,122.4,110.6,11.8
Derrick White,BOS,73,32.6,15.2,4.2,5.2,1.0,1.2,1.5,0.461,0.396,0.901,10.343558282208589,0.611,0.183,29.7475,145.64376000000001,-115.89626000000001,0.625,1.12,0.5049999999999999,6.246975,122.4,109.9,12.5
Jayson Tatum,BOS,74,35.7,26.9,8.1,4.9,1.0,0.6,2.5,0.471,0.376,0.833,14.747899159663865,0.604,0.296,29.588160000000002,160.75353000000004,-131.16537000000005,0.5599999999999999,1.085,0.47499999999999964,6.763008000000001,121.7,110.5,11.2
Shai Gilgeous-Alexander,OKC,75,34.0,30.1,5.5,6.2,2.0,0.9,2.2,0.535,0.353,0.874,17.201470588235292,0.636,0.317,28.815000000000005,154.275,-125.46000000000001,0.5650000000000001,1.0499999999999998,0.5149999999999997,6.540749999999999,121.0,109.7,11.3
Kentavious Caldwell-Pope,DEN,76,31.6,10.1,2.4,2.4,1.3,0.6,1.0,0.46,0.406,0.894,6.8164556962025316,0.602,0.126,27.138080000000002,146.97792,-119.83984000000001,0.5650000000000001,1.12,0.4500000000000002,6.1601040000000005,122.4,111.0,11.3
Payton Pritchard,BOS,82,22.3,9.6,3.2,3.4,0.5,0.1,0.7,0.468,0.385,0.821,9.49775784753363,0.597,0.168,24.86896,112.27604000000001,-87.40708000000001,0.6799999999999999,1.1399999999999997,0.54,4.9006479999999994,122.8,109.2,13.6
Sam Hauser,BOS,79,22.0,9.0,3.5,1.0,0.5,0.3,0.4,0.446,0.424,0.895,8.556818181818182,0.629,0.146,24.679599999999997,105.4097,-80.73010000000001,0.71,1.0649999999999995,0.6450000000000005,4.70998,121.3,107.1,14.2
Jalen Brunson,NYK,77,35.4,28.7,3.6,6.7,0.9,0.2,2.4,0.479,0.401,0.847,14.665254237288135,0.592,0.311,23.44188,165.18347999999997,-141.74159999999998,0.43,1.0600000000000005,0.3700000000000001,6.623694,121.2,112.6,8.6
Paul George,LAC,74,33.8,22.6,5.2,3.5,1.5,0.5,2.1,0.471,0.413,0.907,12.687869822485208,0.613,0.264,22.76092,151.57271999999998,-128.81179999999998,0.45499999999999996,1.0600000000000005,0.39500000000000046,6.140446,121.2,112.1,9.1
Jrue Holiday,BOS,69,32.8,12.5,5.4,4.8,0.9,0.8,1.8,0.48,0.429,0.833,8.935975609756097,0.597,0.161,21.953039999999998,136.47096,-114.51791999999999,0.485,1.0299999999999994,0.45500000000000007,5.624052,120.6,110.9,9.7
Chet Holmgren,OKC,82,29.4,16.5,7.9,2.4,0.6,2.3,1.6,0.53,0.37,0.793,12.760204081632654,0.632,0.21,21.6972,142.47828,-120.78108000000002,0.45,0.9100000000000001,0.54,5.90646,118.2,109.2,9.0
Michael Porter Jr.,DEN,81,31.7,16.7,7.0,1.5,0.5,0.7,1.1,0.484,0.397,0.836,10.764984227129336,0.601,0.202,20.79837,154.31877000000003,-133.52040000000002,0.40499999999999997,1.0099999999999998,0.39500000000000046,6.1753184999999995,120.2,112.1,8.1
Rudy Gobert,MIN,76,34.1,14.0,12.9,1.3,0.7,2.1,1.6,0.661,0.0,0.638,11.058651026392962,0.675,0.152,20.7328,148.49867999999998,-127.76587999999998,0.4,0.7299999999999995,0.6699999999999999,6.2198400000000005,114.6,106.6,8.0
